sigma,effective_cloud_degree,scattering_coordinate,observed_real,observed_imag,finite_geometric_real,finite_geometric_imag,universal_real,universal_imag,observed_to_finite_error,observed_to_universal_error
0.01,3,-2.0,0.5450445330795363,2.5367177251643155e-17,0.5493850652581264,0.0,0.43233235838169365,-0.0,0.004340532178590095,0.11271217469784262
0.01,3,-1.0,0.7140381518174161,-2.5367177251643155e-17,0.7144244988812632,0.0,0.6321205588285577,-0.0,0.0003863470638471034,0.08191759298885848
0.01,3,-0.5,0.8377598302137346,-5.073435450328631e-17,0.8371467411117429,0.0,0.7869386805747332,-0.0,0.0006130891019916485,0.05082114963900142
0.01,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.01,3,0.5,1.2145373514504576,0.0,1.218041321093192,-0.0,1.2974425414002564,0.0,0.0035039696427343614,0.08290518994979879
0.01,3,1.0,1.5005296543508155,1.0146870900657262e-16,1.512436676000136,-0.0,1.718281828459045,0.0,0.011907021649320448,0.21775217410822956
0.01,3,2.0,2.4046605885429284,0.0,2.4621730423743102,-0.0,3.194528049465325,0.0,0.057512453831381816,0.7898674609223968
0.004,3,-2.0,0.5870564362349133,2.27138726423601e-17,0.5493850652581264,0.0,0.43233235838169365,-0.0,0.037671370976786966,0.15472407785321968
0.004,3,-1.0,0.7355476795030909,6.715028832628675e-17,0.7144244988812632,0.0,0.6321205588285577,-0.0,0.02112318062182761,0.10342712067453319
0.004,3,-0.5,0.848432414980592,7.151792548455896e-17,0.8371467411117429,0.0,0.7869386805747332,-0.0,0.011285673868849044,0.06149373440585881
0.004,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.004,3,0.5,1.204693216359919,2.013754241707163e-16,1.218041321093192,-0.0,1.2974425414002564,0.0,0.013348104733272859,0.09274932504033728
0.004,3,1.0,1.4825749620266016,-2.0019755664161053e-17,1.512436676000136,-0.0,1.718281828459045,0.0,0.02986171397353443,0.23570686643244354
0.004,3,2.0,2.3804879510297,9.210375154583082e-17,2.4621730423743102,-0.0,3.194528049465325,0.0,0.08168509134461033,0.8140400984356253
0.002,4,-2.0,0.5444113992195326,8.204206820226739e-17,0.5245479480119437,0.0,0.43233235838169365,-0.0,0.019863451207588922,0.11207904083783898
0.002,4,-1.0,0.7087564173003302,8.204206820226739e-17,0.697438279864974,0.0,0.6321205588285577,-0.0,0.011318137435356257,0.07663585847177257
0.002,4,-0.5,0.8330116044660478,-1.0938942426968986e-16,0.8269412875662597,0.0,0.7869386805747332,-0.0,0.006070316899788097,0.04607292389131468
0.002,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.002,4,0.5,1.2265458433606322,-5.469471213484493e-17,1.233651436290619,-0.0,1.2974425414002564,0.0,0.007105592929986804,0.07089669803962417
0.002,4,1.0,1.5365849719092977,-5.469471213484493e-17,1.5521774369368835,-0.0,1.718281828459045,0.0,0.015592465027585822,0.18169685654974743
0.002,4,2.0,2.558620457632627,0.0,2.5981029946530807,-0.0,3.194528049465325,0.0,0.0394825370204539,0.6359075918326984
0.001,5,-2.0,0.5033647899295073,3.9910295061338416e-17,0.5083834352885187,0.0,0.43233235838169365,-0.0,0.00501864535901142,0.07103243154781363
0.001,5,-1.0,0.6818226900194864,1.795980428105016e-16,0.6862598371194512,0.0,0.6321205588285577,-0.0,0.004437147099964789,0.0497021311909287
0.001,5,-0.5,0.81731141097037,9.687948139634396e-17,0.8201831438942627,0.0,0.7869386805747332,-0.0,0.002871732923892756,0.030372730395636816
0.001,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.001,5,0.5,1.2487581255165972,2.2704364337712864e-16,1.244133183424821,-0.0,1.2974425414002564,0.0,0.0046249420917761075,0.04868441588365924
0.001,5,1.0,1.5905960637172332,1.095173756681352e-16,1.5790673400998942,-0.0,1.718281828459045,0.0,0.01152872361733892,0.12768576474181192
0.001,5,2.0,2.7260603990557346,-3.090514170500122e-16,2.691631039958836,-0.0,3.194528049465325,0.0,0.034429359096898704,0.4684676504095906
0.0005,5,-2.0,0.520560205551582,4.559375431633111e-17,0.5083834352885187,0.0,0.43233235838169365,-0.0,0.012176770263063297,0.08822784716988835
0.0005,5,-1.0,0.6897232772461988,2.2207826558240395e-16,0.6862598371194512,0.0,0.6321205588285577,-0.0,0.0034634401267475967,0.057602718417641086
0.0005,5,-0.5,0.8208329870229021,-4.3631005926041934e-17,0.8201831438942627,0.0,0.7869386805747332,-0.0,0.0006498431286393602,0.03389430644816893
0.0005,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0005,5,0.5,1.2470358490190663,4.660275595108494e-16,1.244133183424821,-0.0,1.2974425414002564,0.0,0.002902665594245235,0.05040669238119011
0.0005,5,1.0,1.5904708898030748,1.708502471010333e-16,1.5790673400998942,-0.0,1.718281828459045,0.0,0.011403549703180582,0.12781093865597026
0.0005,5,2.0,2.7500558544060683,3.450022841000474e-16,2.691631039958836,-0.0,3.194528049465325,0.0,0.058424814447232354,0.44447219505925695
0.0002,6,-2.0,0.5052037418650348,1.3329899608684774e-16,0.49703116666767055,0.0,0.43233235838169365,-0.0,0.008172575197364251,0.07287138348334116
0.0002,6,-1.0,0.6800134042439546,-5.647997965448595e-17,0.6783466967997408,0.0,0.6321205588285577,-0.0,0.0016667074442138219,0.047892845415396956
0.0002,6,-0.5,0.8152052707514298,1.8801653824824419e-16,0.815378187777295,0.0,0.7869386805747332,-0.0,0.00017291702586519353,0.028266590176696638
0.0002,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0002,6,0.5,1.2551855088293653,4.504211281959582e-17,1.2516568946104747,-0.0,1.2974425414002564,0.0,0.0035286142188906133,0.042257032570891084
0.0002,6,1.0,1.6109058217591095,2.402098529877992e-16,1.598468666668946,-0.0,1.718281828459045,0.0,0.01243715509016341,0.10737600669993563
0.0002,6,2.0,2.8197977141179855,7.624759606833289e-16,2.75986887357713,-0.0,3.194528049465325,0.0,0.059928840540855344,0.3747303353473397
0.0001,7,-2.0,0.48673924898990434,9.948924970113622e-17,0.48862329214444505,0.0,0.43233235838169365,-0.0,0.0018840431545407155,0.05440689060821069
0.0001,7,-1.0,0.6684111845615051,1.4300945165670114e-16,0.6724509531372648,0.0,0.6321205588285577,-0.0,0.004039768575759717,0.03629062573294739
0.0001,7,-0.5,0.8085722102510557,2.279185140150729e-16,0.8117866626019227,0.0,0.7869386805747332,-0.0,0.0032144523508669254,0.021633529676322594
0.0001,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0001,7,0.5,1.2642938801484411,4.739762543070233e-16,1.257319779064942,-0.0,1.2974425414002564,0.0,0.006974101083499162,0.03314866125181526
0.0001,7,1.0,1.6328661683145687,1.1738352256147998e-16,1.6131259778856109,-0.0,1.718281828459045,0.0,0.019740190428957805,0.08541566014447644
0.0001,7,2.0,2.887860611878135,6.917979744808988e-16,2.8118329045331527,-0.0,3.194528049465325,0.0,0.07602770734498243,0.30666743758719006
