sigma,component_period,interpolation_fraction,coupling_product,bright_root_real,bright_root_imag,bright_root_one_step_radius,target_return,target_one_step_radius
0.001,6,0.0,-4.999960916183917e-08,0.060226801804609494,0.0,0.7912538147072764,0.026590794458993153,0.7391415382320545
0.001,6,0.01,-8.994893688075189e-06,0.06007791957789023,0.0,0.7910906297264988,0.026590794458993153,0.7391415382320545
0.001,6,0.02,-1.793978776698854e-05,0.059928293939373614,0.0,0.7909262560095455,0.026590794458993153,0.7391415382320545
0.001,6,0.03,-2.688468184590189e-05,0.059777913640375116,0.0,0.7907606737599666,0.026590794458993153,0.7391415382320545
0.001,6,0.04,-3.582957592481524e-05,0.059626767145639664,0.0,0.7905938626542973,0.026590794458993153,0.7391415382320545
0.001,6,0.05,-4.477447000372859e-05,0.05947484262301532,0.0,0.7904258018225816,0.026590794458993153,0.7391415382320545
0.001,6,0.06,-5.371936408264194e-05,0.05932212793264367,0.0,0.7902564698279685,0.026590794458993153,0.7391415382320545
0.001,6,0.07,-6.266425816155529e-05,0.0591686106156388,0.0,0.7900858446453277,0.026590794458993153,0.7391415382320545
0.001,6,0.08,-7.160915224046864e-05,0.05901427788222505,0.0,0.789913903638826,0.026590794458993153,0.7391415382320545
0.001,6,0.09,-8.055404631938199e-05,0.05885911659930161,0.0,0.7897406235384027,0.026590794458993153,0.7391415382320545
0.001,6,0.1,-8.949894039829534e-05,0.05870311327739977,0.0,0.7895659804150779,0.026590794458993153,0.7391415382320545
0.001,6,0.11,-9.844383447720868e-05,0.058546254056995956,0.0,0.7893899496550207,0.026590794458993153,0.7391415382320545
0.001,6,0.12,-0.00010738872855612204,0.05838852469414157,0.0,0.7892125059323037,0.026590794458993153,0.7391415382320545
0.001,6,0.13,-0.0001163336226350354,0.058229910545367164,0.0,0.789033623180259,0.026590794458993153,0.7391415382320545
0.001,6,0.14,-0.00012527851671394877,0.05807039655181591,0.0,0.7888532745613493,0.026590794458993153,0.7391415382320545
0.001,6,0.15,-0.0001342234107928621,0.057909967222557465,0.0,0.7886714324354585,0.026590794458993153,0.7391415382320545
0.001,6,0.16,-0.00014316830487177544,0.05774860661703017,0.0,0.7884880683264998,0.026590794458993153,0.7391415382320545
0.001,6,0.17,-0.0001521131989506888,0.05758629832655502,0.0,0.788303152887232,0.026590794458993153,0.7391415382320545
0.001,6,0.18,-0.00016105809302960214,0.05742302545486086,0.0,0.7881166558621653,0.026590794458993153,0.7391415382320545
0.001,6,0.19,-0.0001700029871085155,0.057258770597555346,0.0,0.7879285460484278,0.026590794458993153,0.7391415382320545
0.001,6,0.2,-0.00017894788118742884,0.05709351582047105,0.0,0.7877387912544569,0.026590794458993153,0.7391415382320545
0.001,6,0.21,-0.00018789277526634217,0.05692724263681051,0.0,0.7875473582563649,0.026590794458993153,0.7391415382320545
0.001,6,0.22,-0.00019683766934525554,0.0567599319830077,0.0,0.7873542127518176,0.026590794458993153,0.7391415382320545
0.001,6,0.23,-0.00020578256342416892,0.05659156419321676,0.0,0.7871593193112518,0.026590794458993153,0.7391415382320545
0.001,6,0.24,-0.00021472745750308225,0.05642211897233132,0.0,0.786962641326243,0.026590794458993153,0.7391415382320545
0.001,6,0.25,-0.0002236723515819956,0.056251575367429675,0.0,0.7867641409548164,0.026590794458993153,0.7391415382320545
0.001,6,0.26,-0.00023261724566090895,0.056079911737532004,0.0,0.7865637790634791,0.026590794458993153,0.7391415382320545
0.001,6,0.27,-0.0002415621397398223,0.055907105721546085,0.0,0.786361515165732,0.026590794458993153,0.7391415382320545
0.001,6,0.28,-0.0002505070338187357,0.05573313420426719,0.0,0.786157307356796,0.026590794458993153,0.7391415382320545
0.001,6,0.29,-0.00025945192789764897,0.05555797328028565,0.0,0.7859511122442651,0.026590794458993153,0.7391415382320545
0.001,6,0.3,-0.00026839682197656235,0.05538159821564265,0.0,0.7857428848743748,0.026590794458993153,0.7391415382320545
0.001,6,0.31,-0.0002773417160554757,0.05520398340706005,0.0,0.7855325786535412,0.026590794458993153,0.7391415382320545
0.001,6,0.32,-0.00028628661013438905,0.05502510233855412,0.0,0.7853201452647977,0.026590794458993153,0.7391415382320545
0.001,6,0.33,-0.0002952315042133024,0.05484492753522478,0.0,0.7851055345787182,0.026590794458993153,0.7391415382320545
0.001,6,0.34,-0.00030417639829221575,0.05466343051399254,0.0,0.7848886945583803,0.026590794458993153,0.7391415382320545
0.001,6,0.35000000000000003,-0.0003131212923711291,0.05448058173103291,0.0,0.784669571157872,0.026590794458993153,0.7391415382320545
0.001,6,0.36,-0.00032206618645004245,0.054296350525633696,0.0,0.7844481082138026,0.026590794458993153,0.7391415382320545
0.001,6,0.37,-0.00033101108052895577,0.05411070506017296,0.0,0.7842242473292221,0.026590794458993153,0.7391415382320545
0.001,6,0.38,-0.00033995597460786915,0.053923612255884976,0.0,0.7839979277492886,0.026590794458993153,0.7391415382320545
0.001,6,0.39,-0.00034890086868678247,0.053735037724047224,0.0,0.7837690862279628,0.026590794458993153,0.7391415382320545
0.001,6,0.4,-0.00035784576276569585,0.05354494569218293,0.0,0.7835376568849262,0.026590794458993153,0.7391415382320545
0.001,6,0.41000000000000003,-0.0003667906568446092,0.05335329892483074,0.0,0.7833035710518345,0.026590794458993153,0.7391415382320545
0.001,6,0.42,-0.0003757355509235225,0.05316005863838452,0.0,0.7830667571069255,0.026590794458993153,0.7391415382320545
0.001,6,0.43,-0.0003846804450024359,0.05296518440945154,0.0,0.7828271402968865,0.026590794458993153,0.7391415382320545
0.001,6,0.44,-0.00039362533908134925,0.05276863407611594,0.0,0.782584642544766,0.026590794458993153,0.7391415382320545
0.001,6,0.45,-0.0004025702331602626,0.05257036363142407,0.0,0.7823391822425763,0.026590794458993153,0.7391415382320545
0.001,6,0.46,-0.000411515127239176,0.052370327108329694,0.0,0.782090674027073,0.026590794458993153,0.7391415382320545
0.001,6,0.47000000000000003,-0.0004204600213180893,0.052168476455246846,0.0,0.7818390285370209,0.026590794458993153,0.7391415382320545
0.001,6,0.48,-0.00042940491539700265,0.051964761401255846,0.0,0.7815841521500487,0.026590794458993153,0.7391415382320545
0.001,6,0.49,-0.00043834980947591597,0.0517591293098912,0.0,0.7813259466969633,0.026590794458993153,0.7391415382320545
0.001,6,0.5,-0.00044729470355482935,0.05155152502030661,0.0,0.7810643091511276,0.026590794458993153,0.7391415382320545
0.001,6,0.51,-0.0004562395976337427,0.051341890674458934,0.0,0.7807991312901976,0.026590794458993153,0.7391415382320545
0.001,6,0.52,-0.00046518449171265605,0.0511301655287769,0.0,0.7805302993271636,0.026590794458993153,0.7391415382320545
0.001,6,0.53,-0.0004741293857915694,0.05091628574857736,0.0,0.780257693507233,0.026590794458993153,0.7391415382320545
0.001,6,0.54,-0.00048307427987048275,0.050700184183257224,0.0,0.7799811876666221,0.026590794458993153,0.7391415382320545
0.001,6,0.55,-0.0004920191739493961,0.05048179012001709,0.0,0.7797006487487795,0.026590794458993153,0.7391415382320545
0.001,6,0.56,-0.0005009640680283096,0.05026102901355634,0.0,0.7794159362729284,0.026590794458993153,0.7391415382320545
0.001,6,0.5700000000000001,-0.0005099089621072229,0.050037822188810796,0.0,0.7791269017490748,0.026590794458993153,0.7391415382320545
0.001,6,0.58,-0.0005188538561861361,0.049812086513372114,0.0,0.7788333880327636,0.026590794458993153,0.7391415382320545
0.001,6,0.59,-0.0005277987502650495,0.049583734035721826,0.0,0.778535228611844,0.026590794458993153,0.7391415382320545
0.001,6,0.6,-0.0005367436443439629,0.04935267158481599,0.0,0.778232246816309,0.026590794458993153,0.7391415382320545
0.001,6,0.61,-0.0005456885384228762,0.049118800325850365,0.0,0.7779242549408496,0.026590794458993153,0.7391415382320545
0.001,6,0.62,-0.0005546334325017896,0.04888201526619879,0.0,0.7776110532680837,0.026590794458993153,0.7391415382320545
0.001,6,0.63,-0.0005635783265807029,0.04864220470451888,0.0,0.7772924289784042,0.026590794458993153,0.7391415382320545
0.001,6,0.64,-0.0005725232206596163,0.04839924961482418,0.0,0.7769681549299877,0.026590794458993153,0.7391415382320545
0.001,6,0.65,-0.0005814681147385296,0.04815302295588608,0.0,0.7766379882896045,0.026590794458993153,0.7391415382320545
0.001,6,0.66,-0.000590413008817443,0.04790338889459377,0.0,0.7763016689913764,0.026590794458993153,0.7391415382320545
0.001,6,0.67,-0.0005993579028963563,0.047650201929795646,0.0,0.7759589179963775,0.026590794458993153,0.7391415382320545
0.001,6,0.68,-0.0006083027969752697,0.04739330590057745,0.0,0.7756094353207833,0.026590794458993153,0.7391415382320545
0.001,6,0.6900000000000001,-0.0006172476910541831,0.047132532859782736,0.0,0.7752528977939158,0.026590794458993153,0.7391415382320545
0.001,6,0.7000000000000001,-0.0006261925851330964,0.04686770178969549,0.0,0.774888956499668,0.026590794458993153,0.7391415382320545
0.001,6,0.71,-0.0006351374792120096,0.04659861713198267,0.0,0.7745172338450388,0.026590794458993153,0.7391415382320545
0.001,6,0.72,-0.000644082373290923,0.04632506709797018,0.0,0.7741373201873131,0.026590794458993153,0.7391415382320545
0.001,6,0.73,-0.0006530272673698364,0.04604682171775004,0.0,0.7737487699360774,0.026590794458993153,0.7391415382320545
0.001,6,0.74,-0.0006619721614487497,0.04576363057701821,0.0,0.7733510970268047,0.026590794458993153,0.7391415382320545
0.001,6,0.75,-0.0006709170555276631,0.045475220178288416,0.0,0.7729437696378937,0.026590794458993153,0.7391415382320545
0.001,6,0.76,-0.0006798619496065765,0.04518129084735194,0.0,0.7725262039910356,0.026590794458993153,0.7391415382320545
0.001,6,0.77,-0.0006888068436854898,0.04488151308536395,0.0,0.7720977570331764,0.026590794458993153,0.7391415382320545
0.001,6,0.78,-0.0006977517377644031,0.04457552324007086,0.0,0.7716577177437651,0.026590794458993153,0.7391415382320545
0.001,6,0.79,-0.0007066966318433165,0.04426291833410255,0.0,0.7712052967386203,0.026590794458993153,0.7391415382320545
0.001,6,0.8,-0.0007156415259222299,0.04394324984058239,0.0,0.7707396137447841,0.026590794458993153,0.7391415382320545
0.001,6,0.81,-0.0007245864200011432,0.04361601613168601,0.0,0.770259682389202,0.026590794458993153,0.7391415382320545
0.001,6,0.8200000000000001,-0.0007335313140800566,0.04328065323703573,0.0,0.7697643915633288,0.026590794458993153,0.7391415382320545
0.001,6,0.8300000000000001,-0.0007424762081589699,0.04293652342520624,0.0,0.7692524823738586,0.026590794458993153,0.7391415382320545
0.001,6,0.84,-0.0007514211022378833,0.04258290094674971,0.0,0.7687225193332039,0.026590794458993153,0.7391415382320545
0.001,6,0.85,-0.0007603659963167967,0.042218954025516446,0.0,0.7681728539299179,0.026590794458993153,0.7391415382320545
0.001,6,0.86,-0.00076931089039571,0.04184372181606478,0.0,0.7676015779659189,0.026590794458993153,0.7391415382320545
0.001,6,0.87,-0.0007782557844746233,0.04145608449244856,0.0,0.7670064629186423,0.026590794458993153,0.7391415382320545
0.001,6,0.88,-0.0007872006785535367,0.0410547237867751,0.0,0.7663848798549917,0.026590794458993153,0.7391415382320545
0.001,6,0.89,-0.0007961455726324501,0.04063806996313293,0.0,0.7657336916977003,0.026590794458993153,0.7391415382320545
0.001,6,0.9,-0.0008050904667113634,0.040204229051386195,0.0,0.7650491052212938,0.026590794458993153,0.7391415382320545
0.001,6,0.91,-0.0008140353607902767,0.03975088053915051,0.0,0.764326462727885,0.026590794458993153,0.7391415382320545
0.001,6,0.92,-0.0008229802548691902,0.03927512938999117,0.0,0.7635599403792812,0.026590794458993153,0.7391415382320545
0.001,6,0.93,-0.0008319251489481035,0.03877328468006906,0.0,0.7627420964220128,0.026590794458993153,0.7391415382320545
0.001,6,0.9400000000000001,-0.0008408700430270168,0.03824051477554845,0.0,0.7618631666350079,0.026590794458993153,0.7391415382320545
0.001,6,0.9500000000000001,-0.0008498149371059301,0.037670282750351836,0.0,0.7609099094092786,0.026590794458993153,0.7391415382320545
0.001,6,0.96,-0.0008587598311848435,0.03705336195421483,0.0,0.7598635895877974,0.026590794458993153,0.7391415382320545
0.001,6,0.97,-0.0008677047252637568,0.03637597238734869,0.0,0.7586961570745956,0.026590794458993153,0.7391415382320545
0.001,6,0.98,-0.0008766496193426701,0.0356158316106293,0.0,0.7573621391741822,0.026590794458993153,0.7391415382320545
0.001,6,0.99,-0.0008855945134215835,0.034732273483123216,0.0,0.7557783280028713,0.026590794458993153,0.7391415382320545
0.001,6,1.0,-0.0008945394075004969,0.03363359177524163,0.0,0.7537565586000582,0.026590794458993153,0.7391415382320545
0.0001,8,0.0,2.0772389502772133e-09,0.022879459829051107,0.0,0.7897058594989138,0.011634451595497268,0.7570230789796144
0.0001,8,0.01,-1.3062550381020838e-06,0.0228221333173043,0.0,0.7895820466461109,0.011634451595497268,0.7570230789796144
0.0001,8,0.02,-2.6145873151544448e-06,0.022764516624480816,0.0,0.7894573129328031,0.011634451595497268,0.7570230789796144
0.0001,8,0.03,-3.922919592206806e-06,0.022706605298851747,0.0,0.789331642772976,0.011634451595497268,0.7570230789796144
0.0001,8,0.04,-5.231251869259167e-06,0.022648394773685625,0.0,0.7892050201593551,0.011634451595497268,0.7570230789796144
0.0001,8,0.05,-6.539584146311528e-06,0.022589880363045708,0.0,0.7890774286476059,0.011634451595497268,0.7570230789796144
0.0001,8,0.06,-7.847916423363888e-06,0.022531057257387688,0.0,0.7889488513397693,0.011634451595497268,0.7570230789796144
0.0001,8,0.07,-9.15624870041625e-06,0.02247192051894614,0.0,0.7888192708668907,0.011634451595497268,0.7570230789796144
0.0001,8,0.08,-1.046458097746861e-05,0.022412465076897214,0.0,0.7886886693707906,0.011634451595497268,0.7570230789796144
0.0001,8,0.09,-1.177291325452097e-05,0.02235268572228409,0.0,0.7885570284849273,0.011634451595497268,0.7570230789796144
0.0001,8,0.1,-1.3081245531573333e-05,0.0222925771026909,0.0,0.7884243293142946,0.011634451595497268,0.7570230789796144
0.0001,8,0.11,-1.4389577808625692e-05,0.022232133716649623,0.0,0.7882905524142961,0.011634451595497268,0.7570230789796144
0.0001,8,0.12,-1.5697910085678052e-05,0.02217134990776352,0.0,0.7881556777685298,0.011634451595497268,0.7570230789796144
0.0001,8,0.13,-1.7006242362730416e-05,0.02211021985852921,0.0,0.7880196847654162,0.011634451595497268,0.7570230789796144
0.0001,8,0.14,-1.8314574639782777e-05,0.022048737583838407,0.0,0.7878825521735945,0.011634451595497268,0.7570230789796144
0.0001,8,0.15,-1.9622906916835135e-05,0.021986896924138695,0.0,0.7877442581160071,0.011634451595497268,0.7570230789796144
0.0001,8,0.16,-2.09312391938875e-05,0.021924691538231282,0.0,0.7876047800425869,0.011634451595497268,0.7570230789796144
0.0001,8,0.17,-2.223957147093986e-05,0.0218621148956818,0.0,0.7874640947014538,0.011634451595497268,0.7570230789796144
0.0001,8,0.18,-2.3547903747992217e-05,0.021799160268818604,0.0,0.7873221781085211,0.011634451595497268,0.7570230789796144
0.0001,8,0.19,-2.4856236025044582e-05,0.021735820724290606,0.0,0.7871790055154033,0.011634451595497268,0.7570230789796144
0.0001,8,0.2,-2.6164568302096943e-05,0.02167208911415488,0.0,0.7870345513755083,0.011634451595497268,0.7570230789796144
0.0001,8,0.21,-2.74729005791493e-05,0.02160795806646141,0.0,0.7868887893081872,0.011634451595497268,0.7570230789796144
0.0001,8,0.22,-2.8781232856201665e-05,0.021543419975300033,0.0,0.7867416920608059,0.011634451595497268,0.7570230789796144
0.0001,8,0.23,-3.0089565133254026e-05,0.021478466990271432,0.0,0.7865932314685883,0.011634451595497268,0.7570230789796144
0.0001,8,0.24,-3.139789741030638e-05,0.021413091005340966,0.0,0.7864433784120706,0.011634451595497268,0.7570230789796144
0.0001,8,0.25,-3.270622968735875e-05,0.02134728364703055,0.0,0.7862921027719919,0.011634451595497268,0.7570230789796144
0.0001,8,0.26,-3.4014561964411105e-05,0.02128103626189981,0.0,0.7861393733814298,0.011634451595497268,0.7570230789796144
0.0001,8,0.27,-3.532289424146347e-05,0.021214339903263674,0.0,0.7859851579749739,0.011634451595497268,0.7570230789796144
0.0001,8,0.28,-3.6631226518515834e-05,0.021147185317088507,0.0,0.7858294231347107,0.011634451595497268,0.7570230789796144
0.0001,8,0.29,-3.7939558795568184e-05,0.021079562927003987,0.0,0.785672134232774,0.011634451595497268,0.7570230789796144
0.0001,8,0.3,-3.924789107262055e-05,0.021011462818361887,0.0,0.7855132553701905,0.011634451595497268,0.7570230789796144
0.0001,8,0.31,-4.055622334967291e-05,0.020942874721266734,0.0,0.7853527493117248,0.011634451595497268,0.7570230789796144
0.0001,8,0.32,-4.186455562672527e-05,0.020873787992496014,0.0,0.7851905774164035,0.011634451595497268,0.7570230789796144
0.0001,8,0.33,-4.3172887903777635e-05,0.02080419159621986,0.0,0.785026699563361,0.011634451595497268,0.7570230789796144
0.0001,8,0.34,-4.448122018083e-05,0.020734074083421337,0.0,0.7848610740726202,0.011634451595497268,0.7570230789796144
0.0001,8,0.35000000000000003,-4.578955245788236e-05,0.020663423569908596,0.0,0.7846936576203801,0.011634451595497268,0.7570230789796144
0.0001,8,0.36,-4.7097884734934714e-05,0.020592227712799373,0.0,0.7845244051483392,0.011634451595497268,0.7570230789796144
0.0001,8,0.37,-4.840621701198708e-05,0.020520473685346083,0.0,0.7843532697665346,0.011634451595497268,0.7570230789796144
0.0001,8,0.38,-4.9714549289039436e-05,0.02044814814995602,0.0,0.7841802026491262,0.011634451595497268,0.7570230789796144
0.0001,8,0.39,-5.10228815660918e-05,0.02037523722924605,0.0,0.784005152922489,0.011634451595497268,0.7570230789796144
0.0001,8,0.4,-5.2331213843144165e-05,0.02030172647495382,0.0,0.7838280675449126,0.011634451595497268,0.7570230789796144
0.0001,8,0.41000000000000003,-5.363954612019652e-05,0.02022760083450824,0.0,0.7836488911771298,0.011634451595497268,0.7570230789796144
0.0001,8,0.42,-5.494787839724888e-05,0.02015284461504023,0.0,0.7834675660428054,0.011634451595497268,0.7570230789796144
0.0001,8,0.43,-5.6256210674301244e-05,0.02007744144458991,0.0,0.7832840317780252,0.011634451595497268,0.7570230789796144
0.0001,8,0.44,-5.75645429513536e-05,0.020001374230238685,0.0,0.7830982252687058,0.011634451595497268,0.7570230789796144
0.0001,8,0.45,-5.8872875228405966e-05,0.01992462511286286,0.0,0.7829100804747285,0.011634451595497268,0.7570230789796144
0.0001,8,0.46,-6.018120750545833e-05,0.019847175418169584,0.0,0.7827195282394497,0.011634451595497268,0.7570230789796144
0.0001,8,0.47000000000000003,-6.148953978251069e-05,0.019769005603634697,0.0,0.7825264960830797,0.011634451595497268,0.7570230789796144
0.0001,8,0.48,-6.279787205956305e-05,0.019690095200915393,0.0,0.7823309079782373,0.011634451595497268,0.7570230789796144
0.0001,8,0.49,-6.41062043366154e-05,0.01961042275325688,0.0,0.7821326841057695,0.011634451595497268,0.7570230789796144
0.0001,8,0.5,-6.541453661366777e-05,0.019529965747350594,0.0,0.7819317405886802,0.011634451595497268,0.7570230789796144
0.0001,8,0.51,-6.672286889072013e-05,0.019448700539030854,0.0,0.7817279892017327,0.011634451595497268,0.7570230789796144
0.0001,8,0.52,-6.803120116777249e-05,0.019366602272114893,0.0,0.7815213370539584,0.011634451595497268,0.7570230789796144
0.0001,8,0.53,-6.933953344482486e-05,0.019283644789596772,0.0,0.7813116862409306,0.011634451595497268,0.7570230789796144
0.0001,8,0.54,-7.064786572187722e-05,0.01919980053629584,0.0,0.781098933463219,0.011634451595497268,0.7570230789796144
0.0001,8,0.55,-7.195619799892959e-05,0.019115040451932706,0.0,0.7808829696069317,0.011634451595497268,0.7570230789796144
0.0001,8,0.56,-7.326453027598195e-05,0.019029333853456565,0.0,0.7806636792816536,0.011634451595497268,0.7570230789796144
0.0001,8,0.5700000000000001,-7.45728625530343e-05,0.01894264830527289,0.0,0.7804409403103858,0.011634451595497268,0.7570230789796144
0.0001,8,0.58,-7.588119483008665e-05,0.018854949475815324,0.0,0.7802146231652738,0.011634451595497268,0.7570230789796144
0.0001,8,0.59,-7.7189527107139e-05,0.018766200978663175,0.0,0.779984590341931,0.011634451595497268,0.7570230789796144
0.0001,8,0.6,-7.849785938419138e-05,0.018676364196119226,0.0,0.7797506956640204,0.011634451595497268,0.7570230789796144
0.0001,8,0.61,-7.980619166124373e-05,0.01858539808282159,0.0,0.7795127835083804,0.011634451595497268,0.7570230789796144
0.0001,8,0.62,-8.11145239382961e-05,0.018493258946556373,0.0,0.7792706879393471,0.011634451595497268,0.7570230789796144
0.0001,8,0.63,-8.242285621534846e-05,0.01839990020295026,0.0,0.7790242317389641,0.011634451595497268,0.7570230789796144
0.0001,8,0.64,-8.373118849240082e-05,0.018305272100134762,0.0,0.7787732253174016,0.011634451595497268,0.7570230789796144
0.0001,8,0.65,-8.503952076945319e-05,0.01820932140876337,0.0,0.7785174654850482,0.011634451595497268,0.7570230789796144
0.0001,8,0.66,-8.634785304650555e-05,0.01811199107189913,0.0,0.778256734064255,0.011634451595497268,0.7570230789796144
0.0001,8,0.67,-8.765618532355792e-05,0.018013219808234227,0.0,0.7779907963144509,0.011634451595497268,0.7570230789796144
0.0001,8,0.68,-8.896451760061026e-05,0.017912941660805762,0.0,0.7777193991391135,0.011634451595497268,0.7570230789796144
0.0001,8,0.6900000000000001,-9.027284987766264e-05,0.017811085481767606,0.0,0.7774422690365994,0.011634451595497268,0.7570230789796144
0.0001,8,0.7000000000000001,-9.1581182154715e-05,0.017707574341783102,0.0,0.7771591097487734,0.011634451595497268,0.7570230789796144
0.0001,8,0.71,-9.288951443176734e-05,0.017602324850104725,0.0,0.7768695995512759,0.011634451595497268,0.7570230789796144
0.0001,8,0.72,-9.419784670881971e-05,0.01749524636825668,0.0,0.7765733881165154,0.011634451595497268,0.7570230789796144
0.0001,8,0.73,-9.550617898587207e-05,0.017386240096234448,0.0,0.7762700928642773,0.011634451595497268,0.7570230789796144
0.0001,8,0.74,-9.681451126292442e-05,0.017275198005011247,0.0,0.7759592946940725,0.011634451595497268,0.7570230789796144
0.0001,8,0.75,-9.81228435399768e-05,0.017162001582524247,0.0,0.7756405329665326,0.011634451595497268,0.7570230789796144
0.0001,8,0.76,-9.943117581702915e-05,0.01704652035169063,0.0,0.7753132995661731,0.011634451595497268,0.7570230789796144
0.0001,8,0.77,-0.00010073950809408152,0.016928610107656478,0.0,0.7749770318317956,0.011634451595497268,0.7570230789796144
0.0001,8,0.78,-0.00010204784037113388,0.016808110806391916,0.0,0.7746311040795061,0.011634451595497268,0.7570230789796144
0.0001,8,0.79,-0.00010335617264818625,0.01668484401644984,0.0,0.7742748173608458,0.011634451595497268,0.7570230789796144
0.0001,8,0.8,-0.0001046645049252386,0.01655860981806839,0.0,0.7739073869861341,0.011634451595497268,0.7570230789796144
0.0001,8,0.81,-0.00010597283720229097,0.016429182995656173,0.0,0.7735279271879156,0.011634451595497268,0.7570230789796144
0.0001,8,0.8200000000000001,-0.00010728116947934332,0.01629630831628654,0.0,0.7731354320819079,0.011634451595497268,0.7570230789796144
0.0001,8,0.8300000000000001,-0.0001085895017563957,0.016159694610818967,0.0,0.7727287517731433,0.011634451595497268,0.7570230789796144
0.0001,8,0.84,-0.00010989783403344804,0.016019007264176297,0.0,0.7723065620061345,0.011634451595497268,0.7570230789796144
0.0001,8,0.85,-0.0001112061663105004,0.015873858558706534,0.0,0.7718673250945002,0.011634451595497268,0.7570230789796144
0.0001,8,0.86,-0.00011251449858755276,0.01572379506911543,0.0,0.7714092388634411,0.011634451595497268,0.7570230789796144
0.0001,8,0.87,-0.00011382283086460511,0.015568280927816862,0.0,0.770930168787514,0.011634451595497268,0.7570230789796144
0.0001,8,0.88,-0.00011513116314165748,0.01540667517594883,0.0,0.7704275560386242,0.011634451595497268,0.7570230789796144
0.0001,8,0.89,-0.00011643949541870985,0.015238200425078285,0.0,0.7698982901083865,0.011634451595497268,0.7570230789796144
0.0001,8,0.9,-0.00011774782769576221,0.015061898370563497,0.0,0.7693385277752841,0.011634451595497268,0.7570230789796144
0.0001,8,0.91,-0.00011905615997281458,0.014876564711116574,0.0,0.7687434279537488,0.011634451595497268,0.7570230789796144
0.0001,8,0.92,-0.00012036449224986693,0.014680650465526884,0.0,0.7681067491564929,0.011634451595497268,0.7570230789796144
0.0001,8,0.93,-0.0001216728245269193,0.014472105682677937,0.0,0.7674202112010411,0.011634451595497268,0.7570230789796144
0.0001,8,0.9400000000000001,-0.00012298115680397167,0.01424811818796988,0.0,0.7666724269307692,0.011634451595497268,0.7570230789796144
0.0001,8,0.9500000000000001,-0.000124289489081024,0.014004645710785425,0.0,0.7658469866742063,0.011634451595497268,0.7570230789796144
0.0001,8,0.96,-0.00012559782135807636,0.013735497736340979,0.0,0.7649186944282904,0.011634451595497268,0.7570230789796144
0.0001,8,0.97,-0.00012690615363512872,0.013430287294594088,0.0,0.7638451605507153,0.011634451595497268,0.7570230789796144
0.0001,8,0.98,-0.00012821448591218107,0.01306887266048382,0.0,0.7625439555299854,0.011634451595497268,0.7570230789796144
0.0001,8,0.99,-0.00012952281818923346,0.012599871766479039,0.0,0.7608041673730713,0.011634451595497268,0.7570230789796144
0.0001,8,1.0,-0.00013083115046628582,0.011634451595497213,0.0,0.7570230789796142,0.011634451595497268,0.7570230789796144
