sigma,node,theta,z_real,z_imag,svds_status,smallest_singular_candidate,resolvent_norm_candidate,singular_triplet_residual,svds_seconds,inverse_feshbach_norm,observation_norm,arnoldi_residual_matrix_norm,global_scalar_rouche_candidate
0.01,0,0.0,-0.06085168086460302,-0.5508412474453575,converged,0.03130286184241578,31.945960884796396,2.1985861001704476e-14,1.2224373817443848,18.083010051939937,1.6219169046598159,8.671979336102315e-16,8.12518978683131e-13
0.01,1,0.19634954084936207,-0.06589552091878054,-0.49963027996744663,converged,0.015744079368471827,63.515939966775164,4.9981416717881576e-14,1.4561679363250732,33.017283276127394,1.6219169046598159,1.060625827994964e-15,3.6075708113554783e-12
0.01,2,0.39269908169872414,-0.08083320913664921,-0.4503873212502705,converged,0.004983405463973164,200.66599180607733,8.688643605263212e-14,1.690802812576294,87.08733292084702,1.6219169046598159,1.8115698871952788e-15,5.1346690834034616e-11
0.01,3,0.5890486225480862,-0.10509069853714836,-0.4050047505815607,converged,0.0030505402522220527,327.8107867193646,1.0832575840073587e-13,1.9418747425079346,55.93738740929303,1.6219169046598159,2.9019083134453407e-15,8.630534750753226e-11
0.01,4,0.7853981633974483,-0.13773578740637357,-0.36522659470127694,converged,0.007170205190213762,139.46602272482352,7.160284147922947e-14,2.1727066040039062,54.28618930381515,1.6219169046598159,1.8832717354890078e-15,2.3125938242400477e-11
0.01,5,0.9817477042468103,-0.17751394328665732,-0.3325815058320517,converged,0.010652661787909376,93.87325157877314,4.228234321494946e-14,2.407611131668091,39.94059576062415,1.6219169046598159,1.9216801701965743e-15,1.1686006103541605e-11
0.01,6,1.1780972450961724,-0.22289651395536714,-0.30832401643155255,converged,0.014876990498545937,67.21789599164825,4.866945359537561e-14,1.9230592250823975,29.43927095942943,1.6219169046598159,2.0013917548528175e-15,6.423513952722551e-12
0.01,7,1.3744467859455345,-0.27213947267254324,-0.2933863282136839,converged,0.02100833194405873,47.60016181497958,3.361796171227712e-14,1.916135549545288,21.397845075215123,1.6219169046598159,1.9442250487111383e-15,3.211837780497707e-12
0.01,8,1.5707963267948966,-0.3233504401504541,-0.28834248815950636,converged,0.03001819595387637,33.31312786206481,2.4874419852417553e-14,1.6788644790649414,15.416180875999848,1.6219169046598159,1.7458383797675427e-15,1.4542023624446643e-12
0.01,9,1.7671458676442586,-0.37456140762836493,-0.2933863282136839,converged,0.04293446771648245,23.29131006359495,2.1602481681341154e-14,1.2091267108917236,11.232863227986552,1.6219169046598159,1.5677265857421993e-15,6.652475923125234e-13
0.01,10,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,converged,0.06032318647788881,16.577373616802312,1.3721876333267516e-14,1.2091243267059326,8.468502884389537,1.6219169046598159,1.3120817787125442e-15,2.9875272141024755e-13
0.01,11,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,converged,0.08188123168569153,12.212810914210351,8.326606583568087e-15,1.2067880630493164,6.692326342048245,1.6219169046598159,1.1465767874265704e-15,1.519933157360328e-13
0.01,12,2.356194490192345,-0.5089650928945346,-0.36522659470127694,converged,0.1065147421184632,9.38837178883486,7.555676713106763e-15,0.9722616672515869,5.543393080403304,1.6219169046598159,9.081584164133613e-16,7.66577675783828e-14
0.01,13,2.552544031041707,-0.5416101817637599,-0.4050047505815607,converged,0.13270373816770067,7.535582748515175,1.1231333217708324e-14,0.9724516868591309,4.779838033059833,1.6219169046598159,8.272865916163585e-16,4.8329756786615846e-14
0.01,14,2.748893571891069,-0.565867671164259,-0.4503873212502704,converged,0.15885538869055937,6.295033541153201,6.5380773538051846e-15,0.9747872352600098,4.257005833329308,1.6219169046598159,8.013977858153401e-16,3.4832049770642496e-14
0.01,15,2.945243112740431,-0.5808053593821276,-0.4996302799674465,converged,0.18352546453834181,5.448835138575998,5.211658028722353e-15,0.9702327251434326,3.891264851676235,1.6219169046598159,6.094560945377635e-16,2.0958755141408255e-14
0.01,16,3.141592653589793,-0.5858491994363052,-0.5508412474453575,converged,0.20551678807167362,4.865782544495838,9.061385809734983e-15,0.7387149333953857,3.633883214790033,1.6219169046598159,6.291678848830833e-16,1.8043417939002102e-14
0.01,17,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,converged,0.22390075838818352,4.466264461088916,9.770349294073208e-15,0.7389452457427979,3.455877896705296,1.6219169046598159,5.887161904730737e-16,1.4737961067083182e-14
0.01,18,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,converged,0.23800176646725607,4.20164948707462,4.274285451506492e-15,0.7372574806213379,3.339813925902392,1.6219169046598159,4.945673510490872e-16,1.1256312305876164e-14
0.01,19,3.730641276137879,-0.54161018176376,-0.6966777443091541,converged,0.24736877701817458,4.042547374224712,5.379964178454852e-15,0.7338912487030029,3.275434060468167,1.6219169046598159,5.218286839151906e-16,1.120677175756975e-14
0.01,20,3.9269908169872414,-0.5089650928945346,-0.736455900189438,converged,0.2517462266413583,3.972254175728385,3.3653889151278864e-15,0.7391531467437744,3.257360979331083,1.6219169046598159,5.134391566231376e-16,1.077508008018288e-14
0.01,21,4.123340357836604,-0.46918693701425085,-0.7691009890586632,converged,0.25104942608275493,3.9832793709329732,3.7896201973812644e-15,0.7618882656097412,3.2839825404819574,1.6219169046598159,4.911058082774258e-16,1.0419461576669179e-14
0.01,22,4.319689898685965,-0.42380436634554125,-0.7933584784591623,converged,0.2453463202027348,4.075871197797786,5.014794532636507e-15,0.7455234527587891,3.3571115232643054,1.6219169046598159,4.801381541586336e-16,1.0655676790840775e-14
0.01,23,4.516039439535327,-0.37456140762836504,-0.808296166677031,converged,0.23484610128751446,4.258107733181964,5.72826254808915e-15,0.7404768466949463,3.4822949800546246,1.6219169046598159,4.855453203732268e-16,1.1677249917379404e-14
0.01,24,4.71238898038469,-0.32335044015045417,-0.8133400067312085,converged,0.2198947246730953,4.547630696855697,5.522274660190062e-15,0.7368931770324707,3.669870365093031,1.6219169046598159,4.911716124532416e-16,1.3295288682906363e-14
0.01,25,4.908738521234052,-0.2721394726725433,-0.808296166677031,converged,0.2009772250265343,4.975688165004635,7.46602276986045e-15,0.7371490001678467,3.9371379940459197,1.6219169046598159,4.640852161205153e-16,1.474552111709486e-14
0.01,26,5.105088062083414,-0.22289651395536708,-0.7933584784591623,converged,0.1787264289318021,5.595143404233612,5.040675132569698e-15,0.7357707023620605,4.312497235292902,1.6219169046598159,4.915044966045331e-16,1.923517524683315e-14
0.01,27,5.301437602932776,-0.17751394328665746,-0.7691009890586633,converged,0.15393665261781997,6.496178674761168,7.241033604277451e-15,0.7339565753936768,4.843401901232819,1.6219169046598159,5.01097543425445e-16,2.5571684845676774e-14
0.01,28,5.497787143782138,-0.13773578740637363,-0.736455900189438,converged,0.12757834766729367,7.838320673409714,1.287347075184445e-14,0.9768674373626709,5.612352815906117,1.6219169046598159,5.195158269513804e-16,3.7067677409752714e-14
0.01,29,5.6941366846315,-0.10509069853714836,-0.6966777443091542,converged,0.10080399521844116,9.920241730826351,9.720823522369801e-15,0.9728593826293945,6.771218017928041,1.6219169046598159,5.692056232515926e-16,6.201358440812889e-14
0.01,30,5.890486225480862,-0.08083320913664926,-0.6512951736404446,converged,0.07492551377814825,13.346588492685736,1.9992363801776435e-14,0.971247673034668,8.621586917790315,1.6219169046598159,6.643161731497411e-16,1.2398264786593312e-13
0.01,31,6.086835766330224,-0.06589552091878059,-0.6020522149232684,converged,0.05133071840161104,19.481511873183027,1.85734687181895e-14,1.213916301727295,11.826866851777444,1.6219169046598159,7.750717333387978e-16,2.8964288451087513e-13
